timestamp,tx_id,active_power_mw,current_amps
2024-01-02 09:00:00+00:00,brighton_local_33kv_gt2,22.63,392.08
2024-01-02 09:30:00+00:00,brighton_local_33kv_gt1,23.41,391.89
2024-01-02 09:30:00+00:00,brighton_local_33kv_gt2,22.63,393.46
2024-01-02 10:00:00+00:00,brighton_local_33kv_gt1,23.41,391.89
2024-01-02 10:00:00+00:00,brighton_local_33kv_gt2,22.63,393.46
2024-01-02 10:30:00+00:00,brighton_local_33kv_gt2,22.63,393.46
2024-01-02 10:30:00+00:00,brighton_local_33kv_gt1,23.41,391.89
2024-01-02 11:00:00+00:00,brighton_local_33kv_gt1,,391.89
2024-01-02 11:30:00+00:00,brighton_local_33kv_gt1,26.36,426.55
2024-01-02 11:30:00+00:00,brighton_local_33kv_gt2,25.89,439.45
2024-01-02 12:00:00+00:00,brighton_local_33kv_gt2,26.21,447.26
2024-01-02 12:00:00+00:00,brighton_local_33kv_gt1,26.68,450.78
2024-01-02 12:30:00+00:00,brighton_local_33kv_gt1,27.11,455.97
2024-01-02 12:30:00+00:00,brighton_local_33kv_gt2,26.64,452.45
2024-01-02 13:00:00+00:00,brighton_local_33kv_gt2,26.76,452.45
2024-01-02 13:00:00+00:00,brighton_local_33kv_gt1,27.2,455.97
2024-01-02 13:30:00+00:00,brighton_local_33kv_gt1,26.78,455.97
2024-01-02 13:30:00+00:00,brighton_local_33kv_gt2,26.33,452.45
2024-01-02 14:00:00+00:00,brighton_local_33kv_gt1,26.36,446.44
2024-01-02 14:00:00+00:00,brighton_local_33kv_gt2,25.9,442.92
2024-01-02 14:30:00+00:00,brighton_local_33kv_gt1,26.19,443.58
2024-01-02 14:30:00+00:00,brighton_local_33kv_gt2,25.72,440.06
2024-01-02 15:00:00+00:00,brighton_local_33kv_gt1,26.47,448.05
2024-01-02 15:00:00+00:00,brighton_local_33kv_gt2,25.99,444.53
2024-01-02 15:30:00+00:00,brighton_local_33kv_gt1,26.76,452.52
2024-01-02 15:30:00+00:00,brighton_local_33kv_gt2,26.28,449.01
2024-01-02 16:00:00+00:00,brighton_local_33kv_gt1,27.05,457.0
2024-01-02 16:00:00+00:00,brighton_local_33kv_gt2,26.57,453.48
2024-01-02 16:30:00+00:00,brighton_local_33kv_gt1,27.11,461.47
2024-01-02 16:30:00+00:00,brighton_local_33kv_gt2,26.64,457.95
2024-01-02 17:00:00+00:00,brighton_local_33kv_gt1,26.91,465.46
2024-01-02 17:00:00+00:00,brighton_local_33kv_gt2,26.44,461.94
2024-01-02 17:30:00+00:00,brighton_local_33kv_gt1,26.72,460.97
2024-01-02 17:30:00+00:00,brighton_local_33kv_gt2,26.25,457.45
2024-01-02 18:00:00+00:00,brighton_local_33kv_gt2,26.05,449.86
2024-01-02 18:00:00+00:00,brighton_local_33kv_gt1,26.52,453.38
2024-01-02 18:30:00+00:00,brighton_local_33kv_gt1,26.33,445.79
2024-01-02 18:30:00+00:00,brighton_local_33kv_gt2,25.85,442.27
2024-01-02 19:00:00+00:00,brighton_local_33kv_gt1,26.13,438.18
2024-01-02 19:00:00+00:00,brighton_local_33kv_gt2,25.65,434.67
2024-01-02 19:30:00+00:00,brighton_local_33kv_gt1,25.45,425.32
2024-01-02 19:30:00+00:00,brighton_local_33kv_gt2,24.65,421.78
